Type*,Brand*,Model Number,Model Name,Serial Number*,Specifications,CPU,RAM,Storage,Status,Purchase Date,Buy Price,Warranty Expiry Date,Life Span,Out of Box OS,Assigned Employee ID
Smartphone,Xiaomi,,Redmi 10C 4G,8.63675E+14,Xiaomi Redmi 10C - 4GB RAM - 128GB - Gray,,,,Sold,1/30/2023," EGP 5,500 ",,,,
Smartphone,Xiaomi,,Redmi 10C 4G,8.68174E+14,Xiaomi Redmi 10C - 4GB RAM - 128GB - Gray,,,,In Use,1/30/2023," EGP 5,500 ",,,,
Smartphone,Xiaomi,220333QAG,Redmi 10C 4G,8.67243E+14,Xiaomi Redmi 10C - 4GB RAM - 128GB - Gray,,,,In Use,1/30/2023," EGP 5,500 ",,,,
Laptop,Dell,,Latitude 5590,CYW5KR2,"Laptop Dell 5590 I5-8350U , 8GB, 250GB SSD",,,,In Use,3/1/2023," EGP 9,120 ",,,,
Laptop,HP,15-dw3000,15,CND1362WST,"Core I5, RAM 8GB,  SSD Crucial 480G",,,,Sold,1/22/2023," EGP 17,000 ",,,,
Laptop,HP,15-dw3000,15,CND1362X1G,"Core I5, 12GB RAM,SSD 480G SATA",,,,Available,1/22/2023," EGP 17,000 ",,,,
Laptop,Lenovo,15ITH6H,Legion 5,PF3MG0VE,"Core I7-11800H, NVIDIA RTX 3060, 16GB Ram,512 SSD, 15.6",,,,Sold,1/18/2023," EGP 34,000 ",,,,
Router,Soyealink,B311-922,Home 4G Router,NBJ8W18112002001,Orange 4G Router,,,,In Use,, EGP 600 ,,,,
Laptop,Lenovo,,Legion 5 Pro,1.96378E+11,"Core I7-11800H, NVIDIA RTX 3050TI, 16GB Ram,1TB SSD, 16.0",,,,Sold,1/18/2023," EGP 32,000 ",,,,
Smartphone,Samsung,SM-A137F/DS,Galaxy A13,3.56413E+14,"Samsung Galaxy A13, 128GB Rom, 4GB Ram, Black",,,,Pending Handover,4/1/2023," EGP 5,285 ",,,,
Laptop,Lenovo,15IML05,IdeaPad 3,PF3BJ4RW,"Core™ i3-10110U, 12GB RAM, 480GB SSD, 15.6",,,,Sold,5/26/2022," EGP 8,000 ",,,,
Laptop,Lenovo,21E6009UGR,ThinkPad E15 Gen 4,PF3WYV1B,"Core I5-1235U, 8GB RAM,NVME250G, No Win, 15.6",,,,In Use,4/30/2023, EGP - ,,,,
Laptop,HP,3WP99EC,EliteBook 840 G5,5CG8323ZGY,"Core I7-8650U, NVME250G, RAM 16GB DDR4, 14"",Win",,,,Sold,4/11/2023," EGP 10,830 ",,,,
Laptop,HP,3WP99EC,EliteBook 840 G5,5CG8241RTX,"Core I7-8650U, NVME250G, RAM 16GB DDR4, 14"",Win",,,,In Use,4/11/2023," EGP 10,830 ",,,,
Laptop,HP,3WP99EC,EliteBook 840 G5,5CG82239VB,"Core I7-8650U, NVME250G, RAM 16GB DDR4, 14"",Win",,,,In Use,4/11/2023," EGP 10,830 ",,,,
Laptop,HP,3WP99EC,EliteBook 840 G5,5CG8273P87,"Core I7-8650U, NVME250G, RAM 16GB DDR4, 14"",Win",,,,In Use,4/11/2023," EGP 10,830 ",,,,
Laptop,HP,3WP99EC,EliteBook 840 G5,5CG8441NML,"Core I7-8650U, 250GB, RAM 16GB DDR4, 14"",Win",,,,Sold,4/11/2023," EGP 10,830 ",,,,
Laptop,HP,3WP99EC,EliteBook 840 G5,5CG8441NMW,"Core I7-8650U, NVME250G, RAM 16GB DDR4, 14"",Win",,,,In Use,4/11/2023," EGP 10,830 ",,,,
Laptop,HP,3WP99EC,EliteBook 840 G5,5CG82925BW,"Core I7-8650U, NVME250G, RAM 16GB DDR4, 14"",Win",,,,In Use,4/11/2023," EGP 10,830 ",,,,
Laptop,HP,5MA18UC,EliteBook 840 G5,5CG84949LW,"Core I7-8650U, NVME250G, RAM 16GB DDR4, 14"",Win",,,,Damaged,4/11/2023," EGP 10,830 ",,,,
Laptop,HP,3WP99EC,EliteBook 840 G5,5CG8256GH,"Core I7-8650U, NVME250G, RAM 16GB DDR4, 14"",Win",,,,In Use,4/11/2023," EGP 10,830 ",,,,
Laptop,HP,3WP99EC,EliteBook 840 G5,5CG82239MS,"Core I7-8650U, NVME250G, RAM 16GB DDR4, 14""",,,,In Use,4/11/2023," EGP 10,830 ",,,,
Laptop,HP,5MA18UC,EliteBook 840 G5,5CG9140FB1,"Core I7-8650U, NVME250G, RAM 16GB DDR4, 14"",Win",,,,In Use,4/11/2023," EGP 10,830 ",,,,
Laptop,HP,3WP99EC,EliteBook 840 G5,5CG8242Q0M,"Core I7-8650U, NVME250G, RAM 16GB DDR4, 14"",Win",,,,Sold,4/11/2023," EGP 10,830 ",,,,
Laptop,Lenovo,21E6009UGR,ThinkPad E15 Gen 4,PF3WW1HF,"Core I5-1235U, 8GB RAM,NVME250G, No Win, 15.6",,,,Sold,4/30/2023," EGP 30,210 ",,,,
Laptop,Lenovo,,ThinkPad E15 Gen 2,PF3R5RTW,"Core I7-1165G7, 8GB RAM (Single Slot), NVME 512, No Win,15.6",,,,In Use,4/26/2023," EGP 34,200 ",,,,
Laptop,Lenovo,20TD002YAD,ThinkPad E15 Gen 2,PF3R5RTE,"Core I7-1165G7, 8GB RAM (Single Slot), NVME 512, No Win,15.6",,,,Sold,4/26/2023," EGP 34,200 ",,,,
Laptop,Lenovo,,ThinkPad E15 Gen 2,PF3R5RT5,"Core I7-1165G7, 16GB RAM (Single Slot), NVME 512,NVIDIA, No Win,15.6",,,,In Use,4/26/2023," EGP 34,200 ",,,,
Laptop,Dell,3510,Vostro 15 3510,JF134L3,"Core I7-1165G7, 16G Ram,256GB,15.6",,,,Sold,6/4/2022," EGP 14,500 ",,,,
Laptop,Lenovo,5-15ITL05,IdeaPad 5,PF3C85DB,"Core i7-1165G7,8 GB 1-slot only,512 GB, 15.6",,,,Sold,8/1/2022," EGP 16,000 ",,,,
Laptop,Lenovo,5-15ITL05,IdeaPad 5,PF3CAHE2,"Core i7-1165G7,8 GB 1-slot only,512 GB, 15.6",,,,Sold,8/1/2022," EGP 16,000 ",,,,
Laptop,Lenovo,5-15ITL05,Ideapad 5,PF3CAQAM,"Core i7-1165G7,8 GB 1-slot only,512 GB, 15.6",,,,Damaged,8/1/2022," EGP 16,000 ",,,,
Laptop,Lenovo,5-15ITL05,Ideapad 5,PF3CAN0C,"Core i7-1165G7,8 GB 1-slot only,512 GB, 15.6",,,,Sold,5/26/2022," EGP 15,500 ",,,,
Laptop,Dell,3510,Vostro 15 3510,HJS0NJ3,"Core i7-1165G7,16GB,1TB HDD, NVIDIA MX350 2GB, 15.6",,,,Available,6/13/2022," EGP 14,500 ",,,,
Laptop,Dell,3510,Vostro 15 3510,3DK34L3,"Core i7-1165G7,8GB,256GB, NVIDIA MX350 2GB, 15.6",,,,Available,6/13/2022," EGP 14,500 ",,,,
Laptop,Dell,3510,Vostro 15 3510,983WMJ3,"Core i7-1165G7,16GB,1TB HDD, NVIDIA MX350 2GB, 15.6",,,,Under Maintenance,5/8/2022," EGP 15,500 ",,,,
Laptop,Lenovo,,IdeaPad 3,PF3BJCSA,"Core™ i3-10110U,12GB,250 SSD, 15.6",,,,Sold,5/31/2022," EGP 8,300 ",,,,
Laptop,Lenovo,,Ideapad 5,PF3CAQ9F,"Core i7-1165G7,8 GB 1-slot only,512 GB, 15.6",,,,Under Maintenance,8/1/2022," EGP 16,000 ",,,,
Laptop,Dell,, G15 5520,2C768R3,"Core i7-12700H,32GB DDR5,512GB,NVIDIA RTX 3060 6GB GDDR6,15.6",,,,Sold,10/20/2022," EGP 29,800 ",,,,
Laptop,Dell,3510,Vostro 15 3510,CQSFRK3,"Core i5-1035G1,8 GB,SSD 256 GB, 15.6",,,,Sold,, EGP - ,,,,
Laptop,Lenovo,21E6009UGR,ThinkPad E15 Gen 4,PF3WDEGS,"Core I5-1235U, 8GB RAM,NVME250G, No Win, 15.6",,,,In Use,4/30/2023, EGP - ,,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF3VZRWN,"Core™ i7-1255U,8GB RAM,512GB,14"",NVIDIA MX550 2GB",,,,Sold,6/6/2023," EGP 36,000 ",,,,
