Type*,Brand*,Model Number,Model Name,Serial Number*,Specifications,CPU,RAM,Storage,Status,Purchase Date,Buy Price,Warranty Expiry Date,Life Span,Out of Box OS,Assigned Employee ID
Smartphone,Samsung,SM-A137F/DS,Galaxy A13,RK8W104EDLP,"Samsung Galaxy A13, 128GB Rom, 4GB Ram, Black",,,,In Use,6/20/2023," EGP 5,350 ",,,,
Storage,Samsung,,Portable SSD,,Samsung Portable SSD T7 1TB,,,,Decommissioned,3/26/2023," EGP 2,850 ",,,,
Storage,Samsung,MU-PE2T0K/WW,Portable SSD T7 Shield,S6NMNS0T701034,Samsung Portable SSD T7 Shield 2TB,,,,In Use,6/22/2023," EGP 7,305 ",,,,
Laptop,Dell,3510,Vostro 15 3510,CBSJXQ3,"Core i5-1135G7,8GB,SSD 250GB, NVIDIA MX350 2GB, 15.6",,,,Sold,, EGP - ,,,,
Laptop,Lenovo,20TD002YAD,ThinkPad E15 Gen 2,PF3NTCV6,"Core I7-1165G7, 16GB RAM (Single Slot), NVME 512, No Win,15.6",,,,Sold,4/26/2023," EGP 34,200 ",,,,
Laptop,Dell,3510,Vostro 15 3510,B993YQ3,"Core i5-1135G7,2*8GB total of 16GB,SSD 250GB, NVIDIA MX350 2GB, 15.6",,,,Available,9/18/2022," EGP 12,700 ",,,,
Laptop,Apple,A1990,"MacBook Pro (15-inch, 2018)",C02Y41VRJG5H,"Core I7,250G SSD, RAM 16GB, Gray",,,,Sold,3/28/2023," EGP 48,500 ",,,,
Laptop,Lenovo,21E300BYGR,ThinkPad E14 Gen 4,PF3X2XE4,"Core™ i5-1235U,8 GB,512 GB SSD PCIe,14"",NVIDIA GeForce MX550 2GB",,,,Available,6/6/2023," EGP 26,500 ",,,,
Laptop,Lenovo,15ITH6H,Legion 5,PF3MGG8B,"Core I7-11800H, NVIDIA RTX 3060, 16GB Ram,512 SSD, 15.6",,,,Sold,1/18/2023," EGP 34,000 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF44RHPX,"Core™ i7-1255U,16GB RAM,512GB,14"",NVIDIA MX550 2GB",,,,Sold,7/5/2023," EGP 36,000 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF44RBM3,"Core™ i7-1255U,8 GB,512 GB SSD PCIe,14"",NVIDIA GeForce MX550 2GB",,,,Sold,7/5/2023," EGP 36,000 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF3VX706,"Core™ i7-1255U,8 GB DDR4-3200,512 GB SSD PCIe,14"",NVIDIA GeForce MX550 2GB",,,,Sold,7/5/2023," EGP 36,000 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF3VYYHM,"Core™ i7-1255U,16 GB,512 GB SSD PCIe,14"",NVIDIA GeForce MX550 2GB",,,,In Use,7/5/2023," EGP 36,000 ",,,,
Laptop,Lenovo,21E300BFGP,ThinkPad E14 Gen 4,PF3WWGJT,"Core™ i7-1255U,8 GB DDR4-3200,512 GB SSD PCIe,14"",NVIDIA GeForce MX550 2GB",,,,Under Maintenance,7/5/2023," EGP 36,000 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF3TKQL5,"Core™ i7-1255U,8 GB,512 GB SSD PCIe,14"",NVIDIA GeForce MX550 2GB",,,,In Use,7/5/2023," EGP 36,000 ",,,,
Laptop,Lenovo,21E300BFGP,ThinkPad E14 Gen 4,PF44R4VK,"Core™ i7-1255U,8 GB DDR4-3200,512 GB SSD PCIe,14"",NVIDIA GeForce MX550 2GB",,,,Pending handover,7/5/2023," EGP 36,000 ",,,,
Printer,HP,M402dne,LaserJet Pro M402dne,0016912842-5K05,,,,,Decommissioned,7/8/2023," EGP 3,680 ",,,,
Laptop,Dell,3510,Vostro 15 3510,CNQVMJ3,,,,,Sold,4/21/2022," EGP 14,500 ",,,,
Printer,Canon,MF418x,iSENSYS,URZ10525,,,,,In Use,7/31/2023," EGP 8,760 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48KEJF,,,,,In Use,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48PGRF,,,,,Sold,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48VLEE,,,,,In Use,8/3/2023," EGP 36,500 ",,,,
